timestamp,line_id,machine_id,product_id,cycle_time,temperature,pressure,production_time,defect,defect_type,energy_consuption
2026-09-01,01,M01,P0,57.5,81.7,3.8,57.5,False,,25.3
2026-09-01,01,M01,P1,68.1,74.3,3.2,68.1,False,,17.2
2026-09-01,01,M01,P2,66.4,73.2,4.8,66.4,False,,19.5
2026-09-01,01,M01,P3,42.6,80.0,5.6,42.6,True,PRESSURE,26.6
2026-09-01,01,M01,P4,41.1,72.8,3.4,41.1,True,LOOSE,15.0
2026-09-01,01,M01,P5,45.6,88.7,4.7,45.6,False,,14.9
2026-09-01,01,M01,P6,41.7,72.7,4.1,41.7,False,,13.9
2026-09-01,01,M01,P7,63.1,82.3,2.2,63.1,False,,11.3
2026-09-01,01,M01,P8,53.6,76.2,5.9,53.6,False,,27.1
2026-09-01,01,M01,P9,69.4,76.7,3.2,69.4,False,,14.5
2026-09-01,01,M01,P10,55.5,82.6,2.3,55.5,True,WELDING,19.4
2026-09-01,01,M01,P11,66.3,71.5,4.0,66.3,False,,19.7
2026-09-01,01,M01,P12,65.0,86.5,5.2,65.0,False,,13.3
2026-09-01,01,M01,P13,42.6,70.2,4.7,42.6,False,,23.5
2026-09-01,01,M01,P14,47.1,75.8,2.6,47.1,False,,11.3
2026-09-01,01,M01,P15,66.8,79.2,2.3,66.8,False,,29.2
2026-09-01,01,M01,P16,65.5,70.3,3.4,65.5,False,,13.6
2026-09-01,01,M01,P17,44.6,89.1,4.1,44.6,False,,22.5
2026-09-01,01,M01,P18,42.4,77.7,3.2,42.4,False,,15.5
2026-09-01,01,M01,P19,53.1,72.8,4.3,53.1,True,PRESSURE,21.9
2026-09-01,01,M01,P20,67.5,70.5,5.9,67.5,False,,25.7
2026-09-01,01,M01,P21,54.6,77.3,4.3,54.6,False,,14.6
2026-09-01,01,M01,P22,51.6,73.1,6.0,51.6,False,,21.5
2026-09-01,01,M01,P23,61.9,70.8,5.5,61.9,False,,20.3
2026-09-01,01,M01,P24,40.7,79.5,3.8,40.7,False,,28.0
2026-09-01,01,M01,P25,40.1,76.1,4.4,40.1,False,,28.4
2026-09-01,01,M01,P26,67.6,83.8,3.1,67.6,False,,19.5
2026-09-01,01,M01,P27,47.2,78.7,4.5,47.2,False,,13.7
2026-09-01,01,M01,P28,59.3,77.5,4.9,59.3,False,,23.7
2026-09-01,01,M01,P29,60.0,82.7,5.3,60.0,False,,20.7
2026-09-01,01,M01,P30,68.2,75.0,2.1,68.2,False,,25.5
2026-09-01,01,M01,P31,59.9,86.5,4.7,59.9,False,,14.8
2026-09-01,01,M01,P32,66.7,73.4,2.4,66.7,False,,27.4
2026-09-01,01,M01,P33,52.0,73.7,4.0,52.0,False,,23.3
2026-09-01,01,M01,P34,40.9,86.3,3.0,40.9,False,,18.2
2026-09-01,01,M01,P35,65.3,78.2,2.5,65.3,False,,22.1
2026-09-01,01,M01,P36,68.8,80.4,5.1,68.8,False,,16.3
2026-09-01,01,M01,P37,53.2,83.3,2.1,53.2,False,,25.3
2026-09-01,01,M01,P38,68.0,72.9,4.2,68.0,False,,20.9
2026-09-01,01,M01,P39,54.6,82.7,2.3,54.6,False,,22.7
2026-09-01,01,M01,P40,65.1,77.0,5.5,65.1,True,PRESSURE,27.7
2026-09-01,01,M01,P41,57.2,77.4,5.1,57.2,False,,28.1
2026-09-01,01,M01,P42,52.5,81.8,5.3,52.5,False,,21.0
2026-09-01,01,M01,P43,66.1,76.6,3.4,66.1,False,,26.5
2026-09-01,01,M01,P44,40.1,85.1,2.4,40.1,False,,22.2
2026-09-01,01,M01,P45,64.0,82.5,2.4,64.0,False,,19.7
2026-09-01,01,M01,P46,41.1,71.3,4.7,41.1,False,,14.6
2026-09-01,01,M01,P47,69.8,80.9,4.4,69.8,False,,11.3
2026-09-01,01,M01,P48,42.9,79.0,4.7,42.9,True,PRESSURE,25.3
2026-09-01,01,M01,P49,47.3,81.0,4.6,47.3,False,,22.4
2026-09-01,01,M01,P50,64.5,84.2,3.1,64.5,False,,24.1
2026-09-01,01,M01,P51,53.3,72.2,4.7,53.3,False,,25.2
2026-09-01,01,M01,P52,65.0,86.0,5.7,65.0,False,,26.4
2026-09-01,01,M01,P53,44.3,70.1,4.1,44.3,False,,19.8
2026-09-01,01,M01,P54,40.2,87.6,5.9,40.2,False,,26.2
2026-09-01,01,M01,P55,48.6,78.1,3.7,48.6,False,,25.2
2026-09-01,01,M01,P56,59.9,89.1,2.1,59.9,True,CRACK,12.9
2026-09-01,01,M01,P57,55.2,87.3,3.7,55.2,False,,13.6
2026-09-01,01,M01,P58,53.1,72.4,3.5,53.1,False,,21.3
2026-09-01,01,M01,P59,50.0,75.4,5.8,50.0,False,,19.4
2026-09-01,01,M01,P60,46.6,89.4,5.3,46.6,True,WELDING,13.2
2026-09-01,01,M01,P61,45.1,87.6,5.9,45.1,False,,27.3
2026-09-01,01,M01,P62,53.1,88.5,5.2,53.1,False,,10.6
2026-09-01,01,M01,P63,43.4,77.8,2.2,43.4,False,,26.6
2026-09-01,01,M01,P64,42.0,71.4,4.1,42.0,False,,14.2
2026-09-01,01,M01,P65,54.5,80.2,3.1,54.5,False,,25.9
2026-09-01,01,M01,P66,65.1,71.6,2.9,65.1,False,,26.0
2026-09-01,01,M01,P67,69.9,74.9,4.2,69.9,False,,22.7
2026-09-01,01,M01,P68,41.7,74.4,5.9,41.7,False,,22.8
2026-09-01,01,M01,P69,41.0,74.0,5.3,41.0,False,,14.4
2026-09-01,01,M01,P70,43.4,84.2,4.8,43.4,False,,24.1
2026-09-01,01,M01,P71,55.3,81.1,3.4,55.3,False,,13.6
2026-09-01,01,M01,P72,40.4,78.3,2.0,40.4,False,,22.6
2026-09-01,01,M01,P73,65.4,72.1,4.6,65.4,True,WELDING,29.8
2026-09-01,01,M01,P74,55.0,70.4,3.6,55.0,False,,15.6
2026-09-01,01,M01,P75,66.2,80.1,5.7,66.2,False,,23.2
2026-09-01,01,M01,P76,51.2,75.5,5.1,51.2,False,,22.4
2026-09-01,01,M01,P77,63.3,89.0,3.1,63.3,False,,12.8
2026-09-01,01,M01,P78,69.5,85.3,3.0,69.5,False,,24.2
2026-09-01,01,M01,P79,43.8,88.2,4.5,43.8,False,,18.0
2026-09-01,01,M01,P80,41.2,75.0,2.9,41.2,False,,24.8
2026-09-01,01,M01,P81,61.2,81.1,2.8,61.2,False,,12.1
2026-09-01,01,M01,P82,51.9,76.5,3.8,51.9,False,,28.8
2026-09-01,01,M01,P83,60.6,82.6,3.1,60.6,True,PRESSURE,24.1
2026-09-01,01,M01,P84,58.7,86.3,2.2,58.7,False,,13.6
2026-09-01,01,M01,P85,41.8,80.9,5.3,41.8,False,,12.7
2026-09-01,01,M01,P86,68.4,86.4,2.4,68.4,False,,14.7
2026-09-01,01,M01,P87,66.2,86.2,4.1,66.2,True,WELDING,22.1
2026-09-01,01,M01,P88,58.3,77.5,2.1,58.3,False,,25.1
2026-09-01,01,M01,P89,53.2,79.0,5.4,53.2,False,,26.8
2026-09-01,01,M01,P90,59.4,87.7,5.5,59.4,False,,26.0
2026-09-01,01,M01,P91,56.3,75.8,3.3,56.3,False,,11.9
2026-09-01,01,M01,P92,56.4,83.1,3.6,56.4,False,,16.0
2026-09-01,01,M01,P93,52.2,76.2,3.4,52.2,False,,11.6
2026-09-01,01,M01,P94,63.8,87.7,4.5,63.8,False,,12.1
2026-09-01,01,M01,P95,59.8,87.4,3.1,59.8,False,,28.7
2026-09-01,01,M01,P96,44.9,86.1,4.1,44.9,False,,24.7
2026-09-01,01,M01,P97,62.5,84.0,4.7,62.5,True,WELDING,10.8
2026-09-01,01,M01,P98,42.3,75.7,2.1,42.3,True,CRACK,18.8
2026-09-01,01,M01,P99,56.4,85.1,4.2,56.4,False,,25.8
2026-09-01,01,M01,P100,48.0,75.8,5.8,48.0,False,,23.4
2026-09-01,01,M01,P101,59.0,83.6,3.7,59.0,False,,12.1
2026-09-01,01,M01,P102,46.7,72.3,4.6,46.7,False,,22.1
2026-09-01,01,M01,P103,48.6,89.2,3.5,48.6,False,,20.4
2026-09-01,01,M01,P104,44.8,89.6,3.4,44.8,False,,11.3
2026-09-01,01,M01,P105,41.1,86.5,2.6,41.1,False,,24.2
2026-09-01,01,M01,P106,55.9,75.2,5.0,55.9,False,,13.7
2026-09-01,01,M01,P107,58.8,77.6,4.1,58.8,False,,23.4
2026-09-01,01,M01,P108,63.3,78.3,2.4,63.3,False,,23.6
2026-09-01,01,M01,P109,56.0,79.2,5.3,56.0,False,,19.2
2026-09-01,01,M01,P110,68.3,71.2,3.8,68.3,False,,21.9
2026-09-01,01,M01,P111,53.0,83.5,3.9,53.0,False,,10.1
2026-09-01,01,M01,P112,66.2,78.0,5.3,66.2,False,,15.7
2026-09-01,01,M01,P113,51.5,81.0,5.9,51.5,True,WELDING,15.8
2026-09-01,01,M01,P114,57.2,89.5,2.7,57.2,False,,15.2
2026-09-01,01,M01,P115,69.7,77.9,2.3,69.7,False,,22.8
2026-09-01,01,M01,P116,47.1,79.2,4.1,47.1,False,,15.5
2026-09-01,01,M01,P117,57.4,70.1,3.7,57.4,False,,20.7
2026-09-01,01,M01,P118,67.3,82.6,4.5,67.3,False,,28.6
2026-09-01,01,M01,P119,47.0,76.0,5.2,47.0,False,,26.3
2026-09-01,01,M01,P120,47.1,79.5,2.5,47.1,False,,24.6
2026-09-01,01,M01,P121,67.7,71.1,2.1,67.7,False,,29.4
2026-09-01,01,M01,P122,63.5,88.2,5.7,63.5,False,,14.7
2026-09-01,01,M01,P123,60.5,84.0,5.3,60.5,False,,12.2
2026-09-01,01,M01,P124,43.9,73.1,4.3,43.9,False,,29.9
2026-09-01,01,M01,P125,63.2,73.3,4.8,63.2,False,,12.1
2026-09-01,01,M01,P126,52.0,74.0,4.0,52.0,False,,16.8
2026-09-01,01,M01,P127,41.1,86.9,3.4,41.1,False,,14.9
2026-09-01,01,M01,P128,45.2,81.5,3.4,45.2,False,,16.7
2026-09-01,01,M01,P129,44.5,82.0,3.9,44.5,False,,14.2
